content,score,sentimen,content_clean
JSS MEMUDAHKAN PELAYANAN PABLIK SEPERTI KIR UJI EMISI KENDARAAN . LAYANAN KEPENDUDUKAN. ADUAN. JAJANAN DAN LAIN LAIN POKOK NYA JSS OKE DEH,5,1,yogyakarta smart service mudah layan pablik kir uji emisi kendara layan duduk adu jajan pokok yogyakarta smart service oke
Good,5,1,good
Penuh perjuangan dan kesabaran,5,1,penuh juang sabar
Penting sekali,4,1,
Well,5,1,
Memudahkan dalam pengurusan kependudukan,5,1,mudah urus duduk
Aplikasi mantap...sangat bermanfaat untuk masyarakat Kota Yogyakarta.,5,1,aplikasi mantap manfaat masyarakat kota yogyakarta
"Ada nya aplikasi jss begitu sangat membantu warga Jogja, seperti pengurusan KTP, KK, akta lahir dll, demi kenyamanan warga Jogja mohon terus dikembang kan",5,1,aplikasi yogyakarta smart service bantu warga yogyakarta urus ktp akta lahir nyaman warga yogyakarta mohon kembang
Bagus dan sangat membantu.. Sejauh ini belum ada kendala dalam pengguan aplikasi :),5,1,bagus bantu kendala pengguan aplikasi
Mantap. Tingkatkan terus aplikasinya,5,1,mantap tingkat aplikasi
Ok,5,1,
Dengan jss layanan untuk pegawai dan masyarakat kota Jogja dan luar jogja semakin baik dan mudah..matur nuwun,5,1,yogyakarta smart service layan pegawai masyarakat kota yogyakarta yogyakarta mudah matur nuwun
Bisa bikin akte kelahiran? Masukin anak ke kk? Tanpa surat pengantar rt rw?,5,1,akte lahir masuk anak surat antar rt rw
Aplikasi yang sangat bermanfaat dan lengkap. Semoga kedepannya semakin oke,5,1,aplikasi manfaat lengkap moga depan oke
Aplikasi untuk semua,5,1,aplikasi
Pelayanan sangat baik,5,1,layan
"Aplikasi nya mantaapp. Sesuai dengan namanya smart service, semoga ke depan makin di perbaiki lgi sistem yang masih kurang👍",5,1,aplikasi mantaapp sesuai nama smart service moga baik sistem
apik,5,1,apik
"mantul, fast respon",4,1,mantul fast respon
"untuk aplikasinya bagus tapi tolong di tambahkan beberapa stasiun tv misalnya adi tv, jogja tv, kresna tv dan stasiun televisi yg ada di diy.",5,1,aplikasi bagus tambah stasiun tv adi tv yogyakarta tv kresna tv stasiun televisi yogyakarta
Saya menulis ini.. Masih muyer muyer gak mau di download...,5,1,tulis muyer muyer download
Sip lah,5,1,sip
Ok,5,1,
Susah dibuka,4,1,sulit buka
Sangat baik,5,1,
Ok,5,1,
Cepat memberi tanggapan,5,1,cepat tanggap
👍sngt membantu,5,1,bantu
Cctv lancar...mantap buat mantau keadaan,5,1,cctv lancar mantap mantau
sangat membantu. usefulllll,5,1,bantu usefulllll
Aplikasi yang sangat keren,5,1,aplikasi keren
Bermanfaat sekali untuk masyarakat Kota Yogyakarta,5,1,manfaat masyarakat kota yogyakarta
Aplikasinya Apik Tenan,5,1,aplikasi apik tenan
Apik neh Nek hp jadul Yo iso lancar. Mesakke para pinisepuh sing hp ne kalah karo anak putune,4,1,apik neh nek hp jadul yo iso lancar mesakke pinisepuh sing hp kalah karo anak putune
Cctv'nya sekarang susah dibuka,5,1,cctv sulit buka
"Aplikasi yg sangat membantu dan memudahkan masyarakat untuk urusan"" Penting",5,1,aplikasi bantu mudah masyarakat urus
Penanganan cepat tapi tingkatkan lagi biar lebih baik,5,1,tangan cepat tingkat biar
Sangat membantu,5,1,bantu
bagus banyak membantu,5,1,bagus bantu
Perlu perbaikan,5,1,baik
Gimana cara login WiFi free hospotnya?,4,1,login wifi free hospotnya
Sangat bermanfaat,5,1,manfaat
Aplikasinya sangat membantu mempermudah mendapat pelayanan publik dari pemerintah kota yk,5,1,aplikasi bantu mudah layan publik perintah kota yk
Bagus sekali,5,1,bagus
Bagus,5,1,bagus
Sangat bermanfaat sekali aplikasi JSS semoga ke depan bisa ditambah fiturnya,5,1,manfaat aplikasi yogyakarta smart service moga tambah fiturnya
Top,5,1,top
"Tolong untuk info pendaftaran vaksin diberi keterangan DOSIS KE BERAPA, agar tidak bingung, TERIMAKASIH",4,1,info daftar vaksin terang dosis bingung terima kasih
Aplikasi yang membantu untuk warga kota Yogyakarta. 👍,5,1,aplikasi bantu warga kota yogyakarta
Sangat bermanfaat,5,1,manfaat
trus ber semangat,5,1,semangat
",, yg j",5,1,
Mudah di operasikan,5,1,mudah operasi
"Aplikasinya oke, sangat membantu",5,1,aplikasi oke bantu
Makin canggih dan berjaya,5,1,canggih jaya
Ok,5,1,
Ok,5,1,
"Aplikasi yang bermanfaat, baik bagi warganya maupun pegawainya",5,1,aplikasi manfaat warga pegawai
"Makin mantabs Aplikasi JSS sekarang, makin banyak aplikasi layanannya, makin stabil aplikasi didalamnya, serta tampilan yang makin oke punya, semangat ya temen-temen semoga aplikasi ini bermanfaat untuk masyarakat umum dan kota jogja pada khususnya.",5,1,mantabs aplikasi yogyakarta smart service aplikasi layan stabil aplikasi dalam tampil oke semangat teman teman moga aplikasi manfaat masyarakat kota yogyakarta
lumayan enteng aplikasinya,5,1,lumayan enteng aplikasi
Jos,5,1,
"Menu laporan saya tidak berfungsi ,tidak ada data muncul",5,1,menu lapor fungsi data muncul
"Aplikasi pintar,, banyak manfaat",5,1,aplikasi pintar manfaat
Mantab,5,1,mantap
Alhamdllh,5,1,alhamdllh
Bagus sip bingit....,5,1,bagus sip bingit
Pelayanan ramah dan dibantu dalam pengarahan. Pertahankan pelayanan.,5,1,layan ramah bantu arah tahan layan
Kembangkan lagi,5,1,kembang
Mantap sekali boshe,5,1,mantap boshe
Keren...,5,1,keren
Sangat bermanfaat.,5,1,manfaat
Mantap,5,1,mantap
"Satu untuk semua kebutuhan, tingkatkan lagi sistemnya biar kalau setiap akses bisa cepat loading nya. Terimakasih",5,1,butuh tingkat sistem biar akses cepat loading terima kasih
Semoga makin bermafaat,5,1,moga bermafaat
Josssssh!,5,1,josssssh
Semog lancar apa yang saya harapkan,5,1,semog lancar harap
Susah di download,5,1,sulit download
well,5,1,
Aplikasi ini sangat membantu masyarakat kota Yogyakarta,5,1,aplikasi bantu masyarakat kota yogyakarta
"Saya langsung beri bintang 5 tanpa basa basi, dari awal proses instalasi aplikasi, pengajuan permohonan, sampai pengambilan dokumen yang sudah jadi berjalan lancar tanpa kendala, permohonan perubahan KK secara online lsg jadi kurang dari sehari dengan pencetakan mandiri,permohonan KTP perubahan lsg jadi kurang dari setengah hari dan lsg bisa diambil ke loket mall pelayanan publik di balaikota Timoho..ada baiknya sebelum mengajukan permohonan yg diinginkan dpt disiapkan dokumen² pendukung.",5,1,langsung bintang basa basi proses instalasi aplikasi aju mohon ambil dokumen jalan lancar kendala mohon ubah online lsg hari cetak mandiri mohon ktp ubah lsg lsg ambil loket mall layan publik balaikota timoho baik aju mohon siap dokumen dukung
Mudah digunakan dan sangat membantu,5,1,mudah bantu
"hebat,makin maju untuk Yogyakarta tercinta",5,1,hebat maju yogyakarta cinta
memudahkan urusan,4,1,mudah urus
Info Kegiatan donordarah&pesan darah ke pmi blm ada ya?,5,1,info giat donordarah pesan darah pmi
Sangat bermanfaat dan komunikatif,5,1,manfaat komunikatif
Sangat bermanfaat dan membantu.,5,1,manfaat bantu
Menunya semakin komplit.....masyarakat semakin dimudahkan dalam mengakses layanan publik....top markotop Pemkot Jogja...,5,1,menu komplit masyarakat mudah akses layan publik top markotop perintah kota yogyakarta
Berguna sesuai dengan nama aplikasinya sangat smart service,5,1,guna sesuai nama aplikasi smart service
Inovasi yang sangat membantu dan fleksibel...mantap,5,1,inovasi bantu fleksibel mantap
Tjakep,5,1,
Bagus,5,1,bagus
Top,5,1,top
"Sangat menarik, banyak informasi baru yang bisa diperoleh.",5,1,tarik informasi oleh
Bagus,5,1,bagus
😁,5,1,
Membantu masyarakat dalam layanan kependudukan dll,5,1,bantu masyarakat layan duduk
Bagus,5,1,bagus
Bagus,4,1,bagus
Sangat berguna dan aplikatif,5,1,guna aplikatif
Oke,5,1,oke
Sangat terbantu saat pendaftaran vaksinasi covid19,5,1,bantu daftar vaksinasi covid
Bagus,5,1,bagus
Maju trs Pemkot Jogja,5,1,maju perintah kota yogyakarta
sangat membantu!!!,5,1,bantu
Mempermudah pekerjaan,5,1,mudah kerja
Apik,5,1,apik
Keren lah,5,1,keren
Good,4,1,good
Bagus membantu sekali,5,1,bagus bantu
Mantap,5,1,mantap
sangat membantu,5,1,bantu
Akses Lebih cepat dari senjatanya korut,5,1,akses cepat senjata
Sangat membantu warga yg ingin mengurus atau mengetahui banyak hal tentang kota Yogyakarta,5,1,bantu warga urus kota yogyakarta
Semoga bermanfaat,5,1,moga manfaat
"Aplikasinya sangat membantu masyarakat, petugasnya ramah. Terimakasih",5,1,aplikasi bantu masyarakat tugas ramah terima kasih
baik,5,1,
Sangat membantulah,5,1,bantu
Belum bisa on,5,1,
